Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index_US_avg__100,land_area_sqmi,water_area_sqmi,pop_density_people_per_mile,median_house_value,median_monthly_owner_costs_with_mortgage,median_gross_rent,median_asking_price_for_vacant_for-sale_homecondo,Number_of_Homes,Count_of_Abnb,Density_of_Abnb
1,1,1,0,2,7,38,1,30317,13265,11970,13981,97.1,3.5,0.0,3777,272815,1736,950,245386,5306.0,75,1.413494158
1,1,1,0,2,15,38,0,30324,26343,24267,20317,99.1,5.3,0.0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,2,2,0,4,17,100,1,30312,22786,19360,20221,98.5,3.4,0.0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,0,2,304,78,1,30307,19520,18004,16646,99.2,4.6,0.0,4274,458614,2301,1123,381747,7808.0,130,1.664959016
1,1,1,0,2,19,50,1,30309,23359,21845,18739,97.6,3.4,0.0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,0,2,42,69,1,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,1,0,2,21,300,0,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,1,0,2,40,95,1,30309,23359,21845,18739,97.6,3.4,0.0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,2,0,4,5,105,1,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,2,2,0,5,117,150,1,30306,22667,22246,21199,100.7,4.4,0.0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,0,2,65,65,0,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,1,0,3,13,50,0,30312,22786,19360,20221,98.5,3.4,0.0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,2,2,0,4,3,100,1,30324,26343,24267,20317,99.1,5.3,0.0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,0,2,17,65,1,30306,22667,22246,21199,100.7,4.4,0.0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,0,2,21,91,1,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,1,0,2,32,47,1,30318,49983,49736,53229,97.5,20.4,0.2,2454,195566,1626,1053,192009,19993.2,18,0.09003061
1,1,1,0,2,17,125,1,30307,19520,18004,16646,99.2,4.6,0.0,4274,458614,2301,1123,381747,7808.0,130,1.664959016
1,2,2,0,4,4,140,1,30307,19520,18004,16646,99.2,4.6,0.0,4274,458614,2301,1123,381747,7808.0,130,1.664959016
1,1,1,0,2,310,45,1,30307,19520,18004,16646,99.2,4.6,0.0,4274,458614,2301,1123,381747,7808.0,130,1.664959016
1,1,1,0,2,69,109,1,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,1,0,2,19,45,1,30312,22786,19360,20221,98.5,3.4,0.0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,0,4,138,100,1,30312,22786,19360,20221,98.5,3.4,0.0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,2,0,3,13,93,1,30306,22667,22246,21199,100.7,4.4,0.0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
3,3,3,0,6,6,400,0,30308,17280,15413,11796,98.0,1.6,0.0,10836,259718,1713,1162,326958,6912.0,210,3.038194444
1,1,2,0,4,6,79,0,30324,26343,24267,20317,99.1,5.3,0.0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
