Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1,1,2,Atlanta,4,54,89,N,33.81192,-84.36621,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,1,Atlanta,4,142,55,N,33.76325,-84.38757,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,1,Atlanta,1,9,63,Y,33.80953,-84.34308,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,2,Boston,3,64,62,N,42.31804,-71.05398,2125,36874,33295,33618,139.2,2.1,0.3,17289,18963,17911,0.7,2513,3056,397125,51744,2062,694,1257,1002069,8.7,14749.6,47,0.318652709,75.59574468,52.4,4.790697674,1.212765957,1.311111111,1.936170213,1.936170213
1,2,2,Atlanta,5,14,157,Y,33.74846,-84.35438,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,2,19,88,Y,33.74173,-84.35466,30316,32108,31110,32495,96.6,12.5,0.1,2565,15541,16566,0.9,2037,1012,203224,57770,1520,422,1079,259826,6.2,12843.2,53,0.41266974,115.5471698,51.33333333,4.860465116,1.396226415,1.62,2.056603774,2.056603774
1,1,2,Atlanta,3,69,53,N,33.76017,-84.36545,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,2,2,Atlanta,7,132,82,N,33.76309,-84.38876,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,1,Atlanta,3,5,109,N,33.77306,-84.35141,30306,22667,22246,21199,100.7,4.4,0.0,5164,11446,11221,1.2,7148,6001,602236,94021,2787,796,1194,454084,2.3,9066.8,112,1.235275952,138.4594595,29.6,4.872093023,1.339285714,1.704081633,1.982142857,1.982142857
1,1,1,Atlanta,2,21,40,Y,33.75066,-84.3413,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
2,3,3,Atlanta,6,21,60,Y,33.77257,-84.37527,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Atlanta,2,43,88,Y,33.78945,-84.3961,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,2,Brookline,4,90,139,Y,42.34937,-71.11741,2134,17850,21503,21389,144.3,1.3,0.0,13458,9350,8499,0.8,3585,4385,486584,49455,2254,810,1654,361746,4.2,7140.0,144,2.016806723,96.76223776,38.38888889,4.779166667,1.244755245,1.508474576,1.777777778,1.777777778
1,2,2,Atlanta,6,5,115,Y,33.81761,-84.34598,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
2,4,3,Atlanta,8,3,450,Y,33.82256,-84.38158,30305,23394,22999,21380,100.4,6.4,0.0,3635,11153,12241,1.2,6415,6966,549848,91147,2733,1220,1237,789677,2.3,9357.6,26,0.277849021,139.1538462,19.93333333,4.9,1.384615385,1.769230769,1.807692308,1.807692308
1,2,2,Atlanta,4,5,185,N,33.76506,-84.35483,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
1,1,2,Atlanta,3,27,122,Y,33.76136,-84.3889,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,2,Atlanta,3,70,80,Y,33.80786,-84.33935,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,1,Atlanta,2,12,99,Y,33.77598,-84.37909,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Atlanta,2,129,104,Y,33.79063,-84.3828,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Newton,2,3,50,Y,42.33694,-71.18804,2467,22364,22491,11078,141.7,4.9,0.1,4590,10210,12153,0.9,7599,7269,798468,112910,2905,1297,2099,1970803,3.1,8945.6,93,1.039617242,130.0108696,34.95588235,4.782258065,1.293478261,1.615384615,2.129032258,2.129032258
1,2,1,Atlanta,2,16,90,Y,33.8193,-84.36409,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,1,Boston,2,3,159,Y,42.34665,-71.07403,2116,23333,20628,19682,143.7,0.6,0.1,37015,10778,12554,0.9,8389,9018,971946,104850,3281,1495,1734,743791,4.1,9333.2,35,0.375005357,151.8285714,76.375,4.8,1.060606061,1.153846154,1.4,1.4
1,1,2,Atlanta,4,9,52,Y,33.74346,-84.32288,30317,13265,11970,13981,97.1,3.5,0.0,3777,6269,6995,1.0,3071,1381,272815,63369,1736,457,950,245386,6.1,5306.0,75,1.413494158,104.7432432,35.28070175,4.944444444,1.459459459,1.845070423,2.146666667,2.146666667
1,1,1,Atlanta,2,3,30,Y,33.7567,-84.36901,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,5,8,85,Y,33.76867,-84.38353,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Atlanta,5,35,58,N,33.76366,-84.38866,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
2,2,4,Atlanta,10,7,337,N,33.76807,-84.38388,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
2,2,2,Atlanta,6,5,169,Y,33.7494,-84.36679,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,6,30,90,Y,33.76806,-84.36993,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Atlanta,2,39,100,N,33.74753,-84.34357,30316,32108,31110,32495,96.6,12.5,0.1,2565,15541,16566,0.9,2037,1012,203224,57770,1520,422,1079,259826,6.2,12843.2,53,0.41266974,115.5471698,51.33333333,4.860465116,1.396226415,1.62,2.056603774,2.056603774
2,2,4,Atlanta,7,10,110,Y,33.8087,-84.36696,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
2,5,5,Atlanta,10,82,161,N,33.79009,-84.3366,30306,22667,22246,21199,100.7,4.4,0.0,5164,11446,11221,1.2,7148,6001,602236,94021,2787,796,1194,454084,2.3,9066.8,112,1.235275952,138.4594595,29.6,4.872093023,1.339285714,1.704081633,1.982142857,1.982142857
1,2,2,Atlanta,3,73,130,Y,33.79,-84.40126,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Atlanta,2,34,77,Y,33.78656,-84.38029,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,4,Atlanta,6,85,69,N,33.76165,-84.32862,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
1,1,2,Atlanta,4,9,100,Y,33.76492,-84.36482,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
2,2,1,Atlanta,6,5,50,N,33.78825,-84.38694,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,2,2,Atlanta,5,135,186,Y,33.7808,-84.37872,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Atlanta,2,130,85,Y,33.79111,-84.37674,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Atlanta,3,94,75,Y,33.75983,-84.36119,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
3,5,12,Atlanta,16,3,406,N,33.75928,-84.3649,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
4,6,8,Atlanta,14,93,680,Y,33.79568,-84.38328,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
2,2,3,Atlanta,4,14,115,Y,33.75749,-84.36801,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,3,3,75,N,33.79793,-84.39181,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Atlanta,3,18,145,Y,33.77777,-84.3805,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
3,5,5,Atlanta,14,70,244,Y,33.74448,-84.3229,30317,13265,11970,13981,97.1,3.5,0.0,3777,6269,6995,1.0,3071,1381,272815,63369,1736,457,950,245386,6.1,5306.0,75,1.413494158,104.7432432,35.28070175,4.944444444,1.459459459,1.845070423,2.146666667,2.146666667
1,1,2,Atlanta,4,36,100,Y,33.82141,-84.37121,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,1,Atlanta,3,24,109,Y,33.78512,-84.38865,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Atlanta,2,23,35,Y,33.81471,-84.39138,30305,23394,22999,21380,100.4,6.4,0.0,3635,11153,12241,1.2,6415,6966,549848,91147,2733,1220,1237,789677,2.3,9357.6,26,0.277849021,139.1538462,19.93333333,4.9,1.384615385,1.769230769,1.807692308,1.807692308
2,2,2,Atlanta,4,8,200,Y,33.74899,-84.36846,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,2,121,70,N,33.76353,-84.38875,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,1,Atlanta,2,13,60,Y,33.73311,-84.37575,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,2,21,75,Y,33.76748,-84.33589,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
1,1,1,Atlanta,4,148,99,N,33.76168,-84.38717,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
2,2,2,Atlanta,5,6,115,Y,33.77537,-84.3823,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
3,4,4,Boston,8,36,275,N,42.35784,-71.06947,2114,13187,11999,10868,142.7,0.4,0.1,29396,6455,6732,0.9,5729,7806,700019,90466,2900,1371,2083,808477,3.5,5274.8,55,1.042693562,139.0363636,47.6875,4.8,1.109090909,1.348837209,1.618181818,1.618181818
1,2,2,Atlanta,6,5,99,Y,33.73432,-84.35907,30316,32108,31110,32495,96.6,12.5,0.1,2565,15541,16566,0.9,2037,1012,203224,57770,1520,422,1079,259826,6.2,12843.2,53,0.41266974,115.5471698,51.33333333,4.860465116,1.396226415,1.62,2.056603774,2.056603774
1,1,1,Atlanta,2,60,54,N,33.78986,-84.33749,30306,22667,22246,21199,100.7,4.4,0.0,5164,11446,11221,1.2,7148,6001,602236,94021,2787,796,1194,454084,2.3,9066.8,112,1.235275952,138.4594595,29.6,4.872093023,1.339285714,1.704081633,1.982142857,1.982142857
2,2,2,Atlanta,6,12,109,Y,33.74382,-84.33918,30316,32108,31110,32495,96.6,12.5,0.1,2565,15541,16566,0.9,2037,1012,203224,57770,1520,422,1079,259826,6.2,12843.2,53,0.41266974,115.5471698,51.33333333,4.860465116,1.396226415,1.62,2.056603774,2.056603774
1,1,2,Atlanta,2,39,51,N,33.77068,-84.38081,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,1,Boston,2,36,39,N,42.30424,-71.06164,2122,24977,23479,24548,139.0,2.0,0.6,12274,12253,12723,0.7,2825,2140,399012,55306,2036,523,1379,938124,9.2,9990.8,23,0.230211795,83.86363636,76.89473684,4.684210526,1.304347826,1.52173913,2.043478261,2.043478261
1,1,1,Atlanta,1,15,51,Y,33.75129,-84.33094,30317,13265,11970,13981,97.1,3.5,0.0,3777,6269,6995,1.0,3071,1381,272815,63369,1736,457,950,245386,6.1,5306.0,75,1.413494158,104.7432432,35.28070175,4.944444444,1.459459459,1.845070423,2.146666667,2.146666667
1,1,1,Atlanta,2,10,65,N,33.75879,-84.3526,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
1,1,1,Atlanta,3,29,80,Y,33.75795,-84.35636,30307,19520,18004,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331,4864,458614,83765,2301,809,1123,381747,3.1,7808.0,130,1.664959016,119.9147287,44.06315789,4.892857143,1.292307692,1.603305785,1.953846154,1.953846154
