Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index_US_avg__100,land_area_sqmi,water_area_sqmi,pop_density_people_per_mile,median_house_value,median_monthly_owner_costs_with_mortgage,median_gross_rent,median_asking_price_for_vacant_for-sale_homecondo,Number_of_Homes,Count_of_Abnb,Density_of_Abnb
1.0,1.0,2.0,0.0,3.0,69.0,69.0,1.0,60225.63804574017,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,40.721940101614,3.038194444
2.0,3.0,2.0,0.0,8.0,33.49629929203107,145.0,1.0,30317.0,13265.0,11970.0,13981.0,97.1,3.5,0.0,3777.0,272815.0,1736.0,950.0,445462.125386917,5306.0,75.0,1.765126463
2.0,1.0,1.0,8.0,2.0,17.0,59.0,1.0,2467.0,22364.0,22491.0,11078.0,141.7,4.9,0.1,4590.0,798468.0,2905.0,2099.0,1970803.0,8945.6,93.0,1.039617242
1.0,2.0,2.0,0.0,3.0,36.0,80.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
1.0,1.0,1.0,0.0,2.0,12.0,100.0,1.0,30306.0,22667.0,19360.0,21199.0,100.7,4.4,0.0,5164.0,602236.0,2787.0,1194.0,381747.0,469.0045521017655,112.0,1.235275952
2.000188199967931,1.0,2.0,2.144443066212649,3.9714284756884974,7.0,119.00286842463356,0.2187591543584995,2114.0,13187.0,11999.0,10868.0,142.7,0.4,0.1,29396.0,700019.0,2900.0,2083.0,349248.8308437217,5274.8,55.0,1.042693562
0.7281446992594987,2.0,2.0,0.2561843260376997,4.0,6.0,229.0,1.0,2118.0,28060.0,26498.0,22173.0,145.9,1.1,0.0,25578.0,310330.0,2898.0,1117.0,1616506.0,11224.0,34.0,0.302922309
1.0,1.0,1.0,0.0,2.0,9.0,79.0,1.0,60378.69460503184,19520.0,18004.0,16646.0,99.2,4.6,0.0444306266307067,4274.0,458614.0,2301.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,2.0,2.0,0.0,4.0,29.0,150.0,1.0,30309.0,23394.0,22999.0,21380.0,100.4,6.4,0.0,6796.0,549848.0,2733.0,1237.0,789677.0,9357.6,26.0,0.277849021
1.0,1.0,1.0,0.0,2.0,4.0,110.0,1.985455413097021,30306.0,22667.0,22246.0,21199.0,100.7,4.4,0.0,5164.0,310330.0,2787.0,1194.0,454084.0,9066.8,112.0,1.235275952
