Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index_US_avg__100,land_area_sqmi,water_area_sqmi,pop_density_people_per_mile,median_house_value,median_monthly_owner_costs_with_mortgage,median_gross_rent,median_asking_price_for_vacant_for-sale_homecondo,Number_of_Homes,Count_of_Abnb,Density_of_Abnb
1.0,1.0,2.0,0.0,3.0,69.0,69.0,1.0,60225.63804574017,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,40.721940101614,3.038194444
2.0,1.0,1.0,0.16441346769427234,2.0,17.0,59.0,1.0,2467.0,22364.0,22491.0,11078.0,141.7,4.9,0.1,4590.0,798468.0,2905.0,2099.0,415334.4404270582,8945.6,93.0,1.039617242
1.0,1.0,1.0,0.0,2.0,9.0,79.0,1.0,60378.69460503184,19520.0,18004.0,16646.0,99.2,4.6,0.0444306266307067,4274.0,458614.0,2301.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,1.0,1.0,0.0,2.0,64.0,90.0,0.0,30324.0,26343.0,24267.0,20317.0,99.1,5.3,0.0,5006.0,335525.0,2081.0,1225.0,212039.0,10537.2,96.0,0.911057966
1.0,1.0,1.0,0.0,2.0,20.0,62.55080760648588,0.0,30309.0,23359.0,21845.0,37577.36582194034,97.6,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,1.0,1.0,0.0,2.0,34.98275267036286,89.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
1.0,1.0,1.0,1.0,1.0,6.0,35.0,0.0,2136.0,32217.0,19401.990391999854,28392.0,135.7,4.6,0.1,7019.0,378035.0,1997.0,1112.0,1207546.0,12886.8,22.0,0.170717323
1.0,1.0,2.0,0.0,0.4734231252963781,90.0,93.0,1.0,30312.0,45331.15963842185,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
2.0,1.0,2.0,1.0,4.0,5.0,140.0,1.0,2114.0,13187.0,11999.0,10868.0,142.7,0.4,0.2268971396019123,29396.0,700019.0,2900.0,2083.0,808477.0,5274.8,55.0,0.5249486022349394
1.0,2.0096860668531926,1.0,0.0,3.0,3.0,95.0,1.0,7167.320539232849,26343.0,24267.0,20317.0,99.1,5.3,0.0,5006.0,312618.4246828085,2081.0,1225.0,212039.0,10537.2,96.0,0.911057966
1.0,1.0,3.0,0.0,4.0,8.0,95.0,1.0,30309.0,20767.15878287874,21845.0,18739.0,29.30793327300701,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,1.0,2.0,0.0,3.0,34.0,79.0,0.043339818969655,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.1216014935951941,10836.0,259718.0,3434.193848129902,1162.0,326958.0,4198.980574737933,210.0,1.777030347197209
1.2463502516447227,1.3976634902435818,5.0,0.0,3.374083380314678,70.0,62.074612153518615,1.0,30317.0,13265.0,11970.0,13981.0,97.1,3.5,0.0,3777.0,272815.0,405.2422200829019,950.0,245386.0,5306.0,75.0,1.413494158
1.0,1.0,2.0,0.0,4.0,49.0,150.0,1.0,30309.0,23359.0,21845.0,3032.9842238197234,97.6,3.4,0.0,6834.0,621136.8853730825,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,2.0,1.0,0.0,2.0,27.0,120.0,1.0,30313.0,11189.0,9495.0,11035.0,98.3,1.1,0.0016345178342911,10062.0,229085.0,1867.0,965.0,607748.0,8802.025683866796,79.0,1.765126463
1.0,1.0,3.0,0.0,4.0,62.0,80.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0022286708676113,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
2.0,2.0,3.0,0.0,4.0,36.0,145.0,1.0,30313.0,11189.0,9495.0,11035.0,98.3,1.1,0.0,10062.0,229085.0,1867.0,965.0,607748.0,4475.6,79.0,1.765126463
0.9275778413941596,1.0,1.0,0.0,2.0,62.0,76.0,1.0,30308.0,13559.671293546962,15413.0,11796.0,98.0,1.6,0.0,10836.0,527756.9632000072,712.6312478804155,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,35.0,79.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
2.0,2.0,2.5923140148526485,0.0,6.0,15.0,150.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,3.0,21.0,92.0,1.0,30307.0,19520.0,18004.0,5072.943126837388,39.86105034497544,4.6,0.0,4274.0,458614.0,2301.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,1.0,1.0,0.0,3.933464172334501,73.0,62.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,2.12521587155998,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,58.52260220771922,2.033477461
2.0,2.0,2.0,0.0,8.0,40.36648977146096,123.0,0.0579563970335788,30308.0,17280.0,15413.0,23697.80665943985,98.0,1.6,0.0,10836.0,259718.0,1713.0,1157.9386425530674,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,3.0,5.0,55.0,1.0,30315.0,34193.0,33857.0,40288.0,96.4,11.3,0.0,3022.0,101446.0,1177.0,824.0,156424.0,13677.2,15.0,0.10967157
1.0,1.0,1.0,1.0,2.0,92.0,149.0,0.0065586728717376,2114.0,26377.52245465876,11999.0,10868.0,142.7,0.4,0.1,29396.0,700019.0,2900.0,2083.0,808477.0,5274.8,55.0,1.042693562
2.0,2.0,3.0,0.0,2.841678433688785,45.0,63.0,0.0,30313.0,11189.0,9495.0,11035.0,98.3,5.041708421008405,0.0,10062.0,229085.0,1867.0,965.0,607748.0,4475.6,79.0,1.765126463
1.0,1.0,3.0,0.0,4.0,4.0,48.0,0.0778569698706537,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,55622.79614634277,6912.0,23.49402583100033,3.038194444
2.0,3.0,3.105950687548269,0.0,9.0,81.0,99.0,1.0,30317.0,13265.0,11970.0,13981.0,97.1,3.5,0.0,3777.0,272815.0,1736.0,950.0,245386.0,5306.0,75.0,1.413494158
2.0,2.0,2.0,0.0,6.0,9.0,154.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,1.0,1.0,0.0,1.0745182831964573,90.98255152712828,129.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0038232751258726,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.16441346769427234,2.0,49.0,79.0,1.0,2126.0,29954.0,25562.0,27815.0,137.9,2.1,0.0,14387.0,339854.0,1854.0,1278.0,584205.0,11981.6,49.82824762842528,0.200307138
1.0,2.0,1.0,0.0,2.0,16.0,178.51968513507904,1.0,30324.0,14560.657550922417,24267.0,20317.0,99.1,10.62004238562158,0.0,5006.0,157043.82200123568,2081.0,1225.0,212039.0,10537.2,96.0,0.911057966
1.0,1.0,3.979045158293136,0.0,3.0,66.0,89.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,34.98275267036286,89.0,1.0,30307.0,19520.0,18004.0,16646.0,99.2,4.6,0.0,4274.0,458614.0,2301.0,1123.0,381747.0,15794.317128055758,130.0,1.664959016
1.0,1.0,1.0,0.0,2.0,174.0,45.0,0.0405825920677045,30313.0,11189.0,9495.0,11035.0,98.3,1.1,0.0,10062.0,229085.0,1867.0,965.0,607748.0,4475.6,79.0,3.5377843581823845
2.0,1.3976634902435818,1.7569473640703286,0.0,3.374083380314678,19.0,199.0,1.0,30307.0,19520.0,18004.0,16646.0,99.2,4.6,0.0,4274.0,458614.0,2301.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,1.0,1.0,0.0,2.0,14.0,40.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
1.0,1.0,2.0,0.0,4.0,16.0,85.0,0.0,30313.0,11189.0,18896.896888521325,11035.0,35.218708748459775,1.1,0.0,10062.0,229085.0,1867.0,965.0,607748.0,12365.045473674065,79.0,1.765126463
1.010465159226285,2.0,5.0,0.0,6.0,87.0,50.0,1.0,30313.0,11189.0,9495.0,11035.0,98.3,1.1,0.0,10062.0,229085.0,1867.0,965.0,607748.0,4161.30768174802,79.0,1.765126463
2.0,1.0,1.0,0.0,3.0,81.60958371891394,165.0,0.0,30308.0,17280.0,15413.0,11796.0,99.73892948118963,1.6,0.0,10836.0,227812.09924482883,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,50.0,105.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,3.0,59.0,91.0,1.0,30324.0,26343.0,24267.0,20317.0,99.1,5.3,0.0,5006.0,335525.0,2081.0,1225.0,212039.0,10537.2,96.0,0.911057966
1.0,1.0,2.0,0.0,4.0,23.0,110.0,0.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
2.0,1.5200117600919352,3.0,0.0,6.0,21.0,60.0,1.0,30308.0,17280.0,15413.0,23458.38229715177,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,583606.2299352535,6912.0,134.07245538560366,3.038194444
2.0,2.0,2.0,0.0,1.5502589233802313,12.0,109.0,1.0,30316.0,32108.0,31110.0,32495.0,96.6,3.36610320267444,0.1,2565.0,203224.0,1520.0,1079.0,259826.0,12843.2,53.0,0.41266974
1.0,1.0,1.0,0.0,3.900722560092951,10.0,125.0,1.0,30312.0,6436.737052829511,19360.0,20221.0,49.78127444923134,3.4,0.247780325028866,6796.0,234413.0,1656.0,1017.0,445032.0,4519.334784124661,200.0,0.2667912569348052
2.0,1.0,2.0,0.0,4.0,3.0,95.0,2.0181525886805134,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
2.0,3.0,5.0,0.0,7.0,10.0,290.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,4.0,90.0,1.0,30309.0,23359.0,44074.50550307157,18739.0,37.68342983270304,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,1.0,1.0,0.0,2.0,9.0,205.0,1.0,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,5.0,90.0,0.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
