Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index_US_avg__100,land_area_sqmi,water_area_sqmi,pop_density_people_per_mile,median_house_value,median_monthly_owner_costs_with_mortgage,median_gross_rent,median_asking_price_for_vacant_for-sale_homecondo,Number_of_Homes,Count_of_Abnb,Density_of_Abnb
1.0,2.0,2.0,0.0,6.0,3.0,145.0,0.0,30309.0,24977.0,23479.0,24548.0,98.5,2.0,0.0,12274.0,399012.0,1713.0,1379.0,381747.0,9990.8,23.0,0.230211795
1.0,1.0,1.0,0.0,3.0,15.0,175.0,0.046840111289982,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,522470.8582473903,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,5.0,37.0,1.0,30315.0,34193.0,12282.584627890405,20221.0,96.4,3.4,0.0,3022.0,194377.8728852841,1177.0,824.0,156424.0,13677.2,15.0,0.10967157
1.0,1.0,1.7980699246145193,0.0,2.0,5.0,110.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1713.0,1017.0,445032.0,9114.4,54.92536331840796,2.194329852
1.0,1.0,1.0,0.0,2.0,6.0,77.87952423481927,1.0,30309.0,22786.0,19360.0,36293.0,98.5,6.77164206904256,0.0,11961.0,507672.0,2270.0,1514.0,425883.0,9114.4,39.0,0.2420549361278141
1.0,1.0,1.0,0.0,2.0,21.0,90.0,0.0,30308.0,17280.0,15413.0,13790.338023442,98.0,1.6,0.0,6796.0,50026.69875727131,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,15.0,65.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1040.9382509629563,1162.0,346940.0,9114.4,190.0,2.033477461
1.0,1.0,1.0,0.0,2.2998391989247486,7.0,100.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1713.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,2.067419636169274,2.0,0.0,4.0,5.0,130.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,1.664959016
1.0,1.0,1.0,0.0,2.0,15.0,90.0,1.0,30308.0,17280.0,15413.0,11796.0,98.5,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,26.435078437177022,1.664959016
1.0,2.0,3.867089667019493,0.0,6.0,10.0,131.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,2.194329852
1.0,1.0,2.0,0.0,4.0,23.0,110.0,0.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,1.0,3.0,0.0,4.0,27.0,79.0,1.0,30313.0,11189.0,9495.0,8000.885586897671,98.3,1.1,0.0,10062.0,135526.58641430625,1867.0,965.0,607748.0,4475.6,79.0,1.765126463
1.0,1.0,1.0,0.0,2.0,107.0,60.0,1.0,30307.0,19520.0,18004.0,16646.0,98.5,3.4,0.0,4274.0,458614.0,2301.0,1196.712620828085,381747.0,7808.0,130.0,1.664959016
1.0,2.0,2.0,0.0,5.0,14.0,157.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,381747.0,9114.4,200.0,2.194329852
1.0,1.0,1.0,0.0,3.0,71.0,70.0,1.0,30308.0,13697.005565179616,15413.0,11796.0,98.0,1.6,0.0,6796.0,259718.0,1713.0,1162.0,381747.0,13369.736629263283,210.0,1.664959016
1.0,1.0,1.0,0.0,3.767180294183756,9.0,99.0,0.0729448540723441,30309.0,22786.0,21845.0,18739.0,97.6,3.4,0.0,9892.993241052996,310330.0,1959.0,1243.0,346940.0,9343.6,190.0,4.066014807709328
1.0,2.0,2.0,0.0,5.0,20.0,139.0,1.0,30317.0,13265.0,11970.0,13981.0,97.1,3.5,0.0,3777.0,272815.0,1736.0,950.0,381747.0,5306.0,75.0,1.413494158
1.0,3.0,1.7980699246145193,0.0,1.6255439077299794,3.0,140.0,1.0,30309.0,32108.0,31110.0,32495.0,96.6,3.4,0.0,2565.0,203224.0,3087.031109007549,1079.0,259826.0,12843.2,53.0,0.41266974
1.0,1.0,1.0,0.0,3.0,87.76856269581162,50.0,1.0,30307.0,19520.0,18004.0,16646.0,98.5,4.6,0.0,4274.0,458614.0,2301.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,3.0,3.0,0.0,6.0,60.92438631004305,189.0,1.0,30307.0,19520.0,18004.0,17329.246789978675,99.2,4.123941596515821,0.0,4274.0,458614.0,1713.0,1123.0,381747.0,7808.0,130.0,1.664959016
1.0,0.4195501085991285,1.0,0.0,2.0,7.0,59.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1713.0,1243.0,346940.0,9343.6,190.0,2.033477461
