Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index_US_avg__100,land_area_sqmi,water_area_sqmi,pop_density_people_per_mile,median_house_value,median_monthly_owner_costs_with_mortgage,median_gross_rent,median_asking_price_for_vacant_for-sale_homecondo,Number_of_Homes,Count_of_Abnb,Density_of_Abnb
2.0,2.0,2.0,1.0,6.0,3.0,145.0,0.0,2122.0,24977.0,23479.0,24548.0,139.0,2.0,0.0,12274.0,399012.0,4013.787533335966,1379.0,938124.0,9990.8,23.0,0.230211795
1.0,1.0,1.0,0.0,3.0,15.0,175.0,0.046840111289982,30308.0,17280.0,15413.0,11796.0,98.0,1.6,0.0,10836.0,522470.8582473903,1713.0,1162.0,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,5.0,37.0,1.0,30315.0,34193.0,12282.584627890405,40288.0,96.4,11.3,0.0,3022.0,194377.8728852841,1177.0,824.0,156424.0,13677.2,15.0,0.10967157
1.0,1.0,1.7980699246145193,0.0,2.0,5.0,110.0,1.0,30312.0,22786.0,19360.0,20221.0,49.59927418156195,3.4,0.0,6796.0,234413.0,3307.231004456801,1017.0,445032.0,9114.4,54.92536331840796,2.194329852
1.0,1.0,1.0,1.0,2.0,6.0,77.87952423481927,1.0,2130.0,39879.0,35401.0,36293.0,34.32119158182218,6.77164206904256,0.1,11961.0,507672.0,2270.0,1514.0,425883.0,15951.6,39.0,0.2420549361278141
1.0,1.0,1.0,-0.0502969166518694,2.0,21.0,300.0,0.0,30308.0,17280.0,15413.0,13790.338023442,98.0,1.6,0.0,21269.291216413912,50026.69875727131,1713.0,591.3184885157343,326958.0,6912.0,210.0,3.038194444
1.0,1.0,1.0,0.0,2.0,15.0,65.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,1040.9382509629563,1162.0,346940.0,524.9141414919832,190.0,2.033477461
1.0,1.0,1.0,0.0,2.2998391989247486,7.0,100.0,1.0,30309.0,23359.0,21845.0,18739.0,97.6,3.4,0.0,6834.0,310330.0,3927.0192807996327,1243.0,346940.0,9343.6,190.0,2.033477461
1.0,2.067419636169274,2.0,0.0017261342949906,4.0,5.0,130.0,1.0,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,234413.0,1656.0,1017.0,445032.0,9114.4,200.0,4.446450433185371
1.0,1.0,1.0,0.0,2.0,15.0,90.0,1.0,30308.0,17280.0,15413.0,11796.0,46.85076158527322,1.6,0.0,10836.0,259718.0,1713.0,1162.0,326958.0,6912.0,26.435078437177022,1.664959016
