Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),median house value,median monthly owner costs (with mortgage),median gross rent,median asking price for vacant for-sale home/condo,Number of Homes,Count of Abnb,Density of Abnb (%)
1,1,1,Atlanta,2,7,38,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,1,1,Atlanta,2,15,38,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,2,2,Atlanta,4,17,100,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,304,78,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,19,50,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,42,69,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,21,300,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,40,95,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,2,Atlanta,4,5,105,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,2,2,Atlanta,5,117,150,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,2,65,65,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,3,13,50,N,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,2,2,Atlanta,4,3,100,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,Atlanta,2,17,65,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,2,21,91,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,32,47,Y,30318,49983,49736,53229,97.5,20.4,0.2,2454,195566,1626,1053,192009,19993.2,18,0.09003061
1,1,1,Atlanta,2,17,125,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,2,2,Atlanta,4,4,140,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,310,45,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,69,109,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,19,45,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,4,138,100,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,2,Atlanta,3,13,93,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
3,3,3,Atlanta,6,6,400,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,2,Atlanta,4,6,79,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,Atlanta,2,79,34,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,3,4,Atlanta,8,106,145,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
